,customer_id,name,age,gender,marital_status,education,occupation,salary,loan_amount,credit_limit,credit_utilization,emi_paid,tenure_months,max_dpd,default_status,product_type,enquiry_amount,unique_products_enquired,total_enquiries,transaction_amount,account_balance,is_salary,Credit Card,Home Loan,Personal Loan
2131,44c346e5-7e5a-4fee-8815-f135676c5f15,Ronald Johnson,43,Female,Single,Bachelor,Regulatory affairs officer,85234,166911.6,106850.0,0.8445962546800655,62.0,34.2,120.0,0.8,Personal Loan,5019.0,1.0,1.0,6433.7289547491955,7793.012142323958,2.0,False,False,True
2131,44c346e5-7e5a-4fee-8815-f135676c5f15,Ronald Johnson,43,Female,Single,Bachelor,Regulatory affairs officer,85234,166911.6,106850.0,0.8445962546800655,62.0,34.2,120.0,0.8,Credit Card,5019.0,1.0,1.0,6433.7289547491955,7793.012142323958,2.0,True,False,False
2131,44c346e5-7e5a-4fee-8815-f135676c5f15,Ronald Johnson,43,Female,Single,Bachelor,Regulatory affairs officer,85234,166911.6,106850.0,0.8445962546800655,62.0,34.2,120.0,0.8,Home Loan,5019.0,1.0,1.0,6433.7289547491955,7793.012142323958,2.0,False,True,False
2132,05729c8a-ed94-4169-8f91-863ce72c2a34,Mrs. Whitney Nelson,52,Female,Divorced,High School,Solicitor,58340,92310.5,64273.5,0.4441433995868965,21.0,24.5,90.0,0.5,Credit Card,397832.0,1.0,1.0,16608.84725126229,4912.812450496818,2.0,True,False,False
2133,df43e1da-f032-4bcf-9649-f10dae4d8830,Donald Schmidt,34,Male,Single,High School,"Engineer, site",108784,343720.6666666667,,,29.0,29.0,30.0,0.3333333333333333,Home Loan,42391.5,2.0,2.0,6963.5272397566405,9583.91387271178,1.0,False,True,False
2133,df43e1da-f032-4bcf-9649-f10dae4d8830,Donald Schmidt,34,Male,Single,High School,"Engineer, site",108784,343720.6666666667,,,29.0,29.0,30.0,0.3333333333333333,Personal Loan,42391.5,2.0,2.0,6963.5272397566405,9583.91387271178,1.0,False,False,True
2134,3709a6c7-efdf-4fa0-ba77-91c1a7106148,Patricia Reeves,67,Female,Single,PhD,"Scientist, audiological",119580,338398.0,,,2.0,21.0,90.0,0.0,Personal Loan,192047.0,3.0,3.0,5857.495485948224,5006.671323235661,1.0,False,False,True
2135,bad9e2fc-d66a-44b8-8d93-d49b98501821,William Baldwin,45,Male,Married,PhD,Archivist,21131,473863.0,,,11.0,52.0,60.0,0.0,Home Loan,95097.0,1.0,1.0,16659.885141536874,8743.536774372687,3.0,False,True,False
2136,f0b1f6be-f25a-49f2-aa0c-c25ac3b42e44,Eric Morgan,54,Female,Divorced,Master,Adult nurse,123451,148047.33333333334,,,32.0,31.0,120.0,0.6666666666666666,Home Loan,89507.0,1.0,2.0,54.23573716622476,13778.051596594045,1.0,False,True,False
2137,5ccffe5e-96da-45e7-8d9d-67fddc491dc0,Shannon Powers,29,Female,Single,High School,Metallurgist,62386,61402.0,68162.0,0.9152731011580538,8.0,44.0,120.0,0.0,Credit Card,243395.0,2.0,2.0,0.0,9539.683815700027,0.0,True,False,False
2138,018eef5d-44be-4855-8e04-6a0af9b23502,Marilyn Carter,50,Female,Single,High School,"Psychologist, clinical",65714,211168.8,75956.5,0.6638089598928628,43.0,24.8,60.0,0.8,Credit Card,292133.0,1.0,1.0,4311.220960628921,13854.203534283133,1.0,True,False,False
2138,018eef5d-44be-4855-8e04-6a0af9b23502,Marilyn Carter,50,Female,Single,High School,"Psychologist, clinical",65714,211168.8,75956.5,0.6638089598928628,43.0,24.8,60.0,0.8,Home Loan,292133.0,1.0,1.0,4311.220960628921,13854.203534283133,1.0,False,True,False
2139,16339223-5a06-4a02-9569-ffdc849a950e,Robin Johnson,65,Male,Divorced,PhD,Neurosurgeon,99247,196861.6,,,49.0,36.6,120.0,0.2,Personal Loan,,,,9929.462782215782,13671.596710148067,1.0,False,False,True
2139,16339223-5a06-4a02-9569-ffdc849a950e,Robin Johnson,65,Male,Divorced,PhD,Neurosurgeon,99247,196861.6,,,49.0,36.6,120.0,0.2,Home Loan,,,,9929.462782215782,13671.596710148067,1.0,False,True,False
2140,6abbfefe-e52a-4aad-a476-41a7fc5741b1,Dr. Brent Cox,52,Male,Single,PhD,"Teacher, primary school",71214,,,,,,,,,218665.0,1.0,1.0,0.0,10109.67082659784,0.0,False,False,False
2141,240d51c5-c530-40fd-ad1e-6d4cb20a1210,Kiara Hayes,55,Male,Married,High School,Location manager,146139,89958.0,,,5.0,37.0,0.0,0.0,Home Loan,327186.0,1.0,1.0,6856.968058012337,11041.011263482977,1.0,False,True,False
2142,25953577-af26-46cd-bfd7-0134c69dccab,William Wright,37,Male,Divorced,High School,Financial risk analyst,103288,273713.0,,,47.0,34.5,120.0,0.25,Personal Loan,,,,9004.775511639584,12056.99149337209,1.0,False,False,True
2143,1fbadb22-3617-4038-b194-0dd54770a3d0,Christine Mendez,55,Female,Divorced,PhD,Diplomatic Services operational officer,22840,132807.8,106758.0,0.31793214285249316,90.0,37.2,120.0,0.4,Personal Loan,,,,2052.8717564315684,11313.63384722981,1.0,False,False,True
2143,1fbadb22-3617-4038-b194-0dd54770a3d0,Christine Mendez,55,Female,Divorced,PhD,Diplomatic Services operational officer,22840,132807.8,106758.0,0.31793214285249316,90.0,37.2,120.0,0.4,Credit Card,,,,2052.8717564315684,11313.63384722981,1.0,True,False,False
2143,1fbadb22-3617-4038-b194-0dd54770a3d0,Christine Mendez,55,Female,Divorced,PhD,Diplomatic Services operational officer,22840,132807.8,106758.0,0.31793214285249316,90.0,37.2,120.0,0.4,Home Loan,,,,2052.8717564315684,11313.63384722981,1.0,False,True,False
2144,a8b09256-5f45-4af1-be3d-c68fd19c9c05,Ashley Brown,23,Male,Married,Master,Dealer,146854,268963.3333333333,,,41.0,40.666666666666664,60.0,0.6666666666666666,Personal Loan,,,,0.0,9763.80978360484,0.0,False,False,True
2144,a8b09256-5f45-4af1-be3d-c68fd19c9c05,Ashley Brown,23,Male,Married,Master,Dealer,146854,268963.3333333333,,,41.0,40.666666666666664,60.0,0.6666666666666666,Home Loan,,,,0.0,9763.80978360484,0.0,False,True,False
2145,61e82499-fb8d-4242-8403-310a077a6e05,Emily Ashley,49,Male,Single,High School,"Engineer, chemical",125910,402940.0,,,7.0,52.0,0.0,0.0,Personal Loan,,,,0.0,13209.764065191172,0.0,False,False,True
2146,26faa255-6675-4fe4-8cd5-6edc0682acef,Andrew Fuentes,64,Male,Divorced,PhD,Plant breeder/geneticist,93178,224361.0,,,30.0,37.5,90.0,0.5,Home Loan,,,,0.0,9821.337614490838,0.0,False,True,False
2146,26faa255-6675-4fe4-8cd5-6edc0682acef,Andrew Fuentes,64,Male,Divorced,PhD,Plant breeder/geneticist,93178,224361.0,,,30.0,37.5,90.0,0.5,Personal Loan,,,,0.0,9821.337614490838,0.0,False,False,True
2147,68c5152e-7d89-4f91-8848-5ebf062fcae1,Robert Chambers,42,Female,Divorced,PhD,"Programme researcher, broadcasting/film/video",23637,220940.33333333334,140995.0,0.1460906045619465,57.0,55.333333333333336,120.0,0.6666666666666666,Credit Card,,,,11958.122233842043,7722.422924918379,2.0,True,False,False
2147,68c5152e-7d89-4f91-8848-5ebf062fcae1,Robert Chambers,42,Female,Divorced,PhD,"Programme researcher, broadcasting/film/video",23637,220940.33333333334,140995.0,0.1460906045619465,57.0,55.333333333333336,120.0,0.6666666666666666,Personal Loan,,,,11958.122233842043,7722.422924918379,2.0,False,False,True
2148,076d394c-599d-445f-9734-bf6a8d009bfb,Joshua Turner,32,Male,Married,Bachelor,"Editor, film/video",96289,83542.33333333333,101755.5,0.494354187412143,27.0,34.0,60.0,0.3333333333333333,Credit Card,,,,0.0,4861.979236269072,0.0,True,False,False
2148,076d394c-599d-445f-9734-bf6a8d009bfb,Joshua Turner,32,Male,Married,Bachelor,"Editor, film/video",96289,83542.33333333333,101755.5,0.494354187412143,27.0,34.0,60.0,0.3333333333333333,Personal Loan,,,,0.0,4861.979236269072,0.0,False,False,True
2149,cb10d76b-21e4-4ad7-b501-cdc945ac60a0,Zachary Peterson,42,Male,Single,Master,Ship broker,63827,292146.2,,,71.0,36.2,120.0,0.8,Personal Loan,,,,0.0,13861.41402368292,0.0,False,False,True
2149,cb10d76b-21e4-4ad7-b501-cdc945ac60a0,Zachary Peterson,42,Male,Single,Master,Ship broker,63827,292146.2,,,71.0,36.2,120.0,0.8,Home Loan,,,,0.0,13861.41402368292,0.0,False,True,False
2150,c3b50ccd-bca0-4cf3-9651-96c8b852b657,Margaret Young,44,Male,Divorced,High School,"Development worker, international aid",113049,110867.5,13518.0,0.8546999782356965,26.0,45.0,120.0,1.0,Credit Card,,,,3816.957656780405,10383.367583690795,1.0,True,False,False
2150,c3b50ccd-bca0-4cf3-9651-96c8b852b657,Margaret Young,44,Male,Divorced,High School,"Development worker, international aid",113049,110867.5,13518.0,0.8546999782356965,26.0,45.0,120.0,1.0,Personal Loan,,,,3816.957656780405,10383.367583690795,1.0,False,False,True
2151,a50e828c-8822-4f72-98d8-c6aa3e20e087,Melissa Williams,20,Male,Married,Bachelor,"Engineer, civil (contracting)",120184,125678.0,130761.0,0.4481581014221172,23.0,48.0,0.0,1.0,Credit Card,98244.0,1.0,1.0,10757.770541241334,10662.421192328866,2.0,True,False,False
2152,f75ee8e2-2b73-4f46-823e-886a92fc5554,Benjamin Escobar,70,Female,Single,PhD,Artist,93646,150492.0,126590.0,0.18810702329250012,23.0,35.5,90.0,0.0,Personal Loan,,,,10437.57018150723,7453.262074268275,2.0,False,False,True
2152,f75ee8e2-2b73-4f46-823e-886a92fc5554,Benjamin Escobar,70,Female,Single,PhD,Artist,93646,150492.0,126590.0,0.18810702329250012,23.0,35.5,90.0,0.0,Credit Card,,,,10437.57018150723,7453.262074268275,2.0,True,False,False
2153,7d1df0fd-0911-4a06-8466-992d18c3df0d,Lisa Williams,33,Male,Divorced,Bachelor,Systems developer,25069,264166.0,,,17.0,27.0,30.0,0.0,Personal Loan,251074.6,2.0,5.0,0.0,11845.095357663138,0.0,False,False,True
2154,62d2fcb8-b450-410c-ac84-1b68d56c5735,Stephanie Walker,35,Female,Divorced,Bachelor,Forensic psychologist,31515,66301.0,114942.0,0.5544058040514852,6.0,55.0,90.0,1.0,Credit Card,,,,13154.506748918735,7617.526373629228,2.0,True,False,False
2155,bfef2071-b720-4e64-af32-916b656912b7,Derrick Johnson,30,Male,Single,Bachelor,Estate agent,100579,160764.33333333334,79242.0,0.9188527681525267,35.0,29.0,120.0,0.3333333333333333,Home Loan,13320.0,1.0,1.0,4114.464526457317,11149.3913177527,1.0,False,True,False
2155,bfef2071-b720-4e64-af32-916b656912b7,Derrick Johnson,30,Male,Single,Bachelor,Estate agent,100579,160764.33333333334,79242.0,0.9188527681525267,35.0,29.0,120.0,0.3333333333333333,Personal Loan,13320.0,1.0,1.0,4114.464526457317,11149.3913177527,1.0,False,False,True
2155,bfef2071-b720-4e64-af32-916b656912b7,Derrick Johnson,30,Male,Single,Bachelor,Estate agent,100579,160764.33333333334,79242.0,0.9188527681525267,35.0,29.0,120.0,0.3333333333333333,Credit Card,13320.0,1.0,1.0,4114.464526457317,11149.3913177527,1.0,True,False,False
2156,370d4ce2-da04-4d62-a59a-424f261ee142,Sue Reid,65,Female,Married,High School,Museum/gallery exhibitions officer,95129,292485.75,,,55.0,22.5,120.0,0.5,Personal Loan,13230.0,1.0,1.0,0.0,13347.628471822432,0.0,False,False,True
2156,370d4ce2-da04-4d62-a59a-424f261ee142,Sue Reid,65,Female,Married,High School,Museum/gallery exhibitions officer,95129,292485.75,,,55.0,22.5,120.0,0.5,Home Loan,13230.0,1.0,1.0,0.0,13347.628471822432,0.0,False,True,False
2157,257c0040-ed69-42eb-a021-93bbba0c1e89,Amanda Murray,47,Male,Married,Master,Applications developer,127095,43865.0,27313.0,0.5116830021279569,18.0,41.0,120.0,1.0,Credit Card,,,,0.0,15752.190829301515,0.0,True,False,False
2158,42b461fa-a84d-4120-b804-1168a7693120,Jeffrey Freeman,69,Female,Divorced,PhD,Estate agent,112859,129189.5,57838.0,0.549227250540933,66.0,31.0,90.0,0.75,Home Loan,186828.0,1.0,1.0,0.0,7326.262987003798,0.0,False,True,False
2158,42b461fa-a84d-4120-b804-1168a7693120,Jeffrey Freeman,69,Female,Divorced,PhD,Estate agent,112859,129189.5,57838.0,0.549227250540933,66.0,31.0,90.0,0.75,Credit Card,186828.0,1.0,1.0,0.0,7326.262987003798,0.0,True,False,False
2159,1b77418d-5ce9-4cfb-8b01-2aaf333fda7f,Eric Lee,32,Male,Single,Master,"Engineer, water",148593,255975.0,67459.0,0.7656673377833105,27.0,47.0,30.0,1.0,Credit Card,,,,0.0,7828.450713375294,0.0,True,False,False
2159,1b77418d-5ce9-4cfb-8b01-2aaf333fda7f,Eric Lee,32,Male,Single,Master,"Engineer, water",148593,255975.0,67459.0,0.7656673377833105,27.0,47.0,30.0,1.0,Home Loan,,,,0.0,7828.450713375294,0.0,False,True,False
2160,e459008e-4358-4313-994c-17237e8b7768,Mark Best,44,Male,Single,PhD,Public librarian,142031,156810.0,62621.0,0.5848936393930735,57.0,25.8,90.0,0.4,Home Loan,,,,0.0,11082.026706378867,0.0,False,True,False
2160,e459008e-4358-4313-994c-17237e8b7768,Mark Best,44,Male,Single,PhD,Public librarian,142031,156810.0,62621.0,0.5848936393930735,57.0,25.8,90.0,0.4,Credit Card,,,,0.0,11082.026706378867,0.0,True,False,False
2160,e459008e-4358-4313-994c-17237e8b7768,Mark Best,44,Male,Single,PhD,Public librarian,142031,156810.0,62621.0,0.5848936393930735,57.0,25.8,90.0,0.4,Personal Loan,,,,0.0,11082.026706378867,0.0,False,False,True
2161,c00af566-cb19-4514-b67c-9005b81b36a6,Heather Gonzales,32,Female,Divorced,High School,Water engineer,121643,186835.5,52084.0,0.20837078660930264,62.0,45.5,60.0,0.5,Personal Loan,,,,0.0,5918.10663709643,0.0,False,False,True
2161,c00af566-cb19-4514-b67c-9005b81b36a6,Heather Gonzales,32,Female,Divorced,High School,Water engineer,121643,186835.5,52084.0,0.20837078660930264,62.0,45.5,60.0,0.5,Credit Card,,,,0.0,5918.10663709643,0.0,True,False,False
2162,75933be5-9a0d-452d-8d19-46e580a00d6e,Jennifer Lawrence,54,Male,Divorced,Bachelor,"Embryologist, clinical",131854,221210.0,50612.0,0.6741737709496489,39.0,50.333333333333336,120.0,0.3333333333333333,Personal Loan,13864.0,1.0,1.0,0.0,11850.26731809572,0.0,False,False,True
2162,75933be5-9a0d-452d-8d19-46e580a00d6e,Jennifer Lawrence,54,Male,Divorced,Bachelor,"Embryologist, clinical",131854,221210.0,50612.0,0.6741737709496489,39.0,50.333333333333336,120.0,0.3333333333333333,Credit Card,13864.0,1.0,1.0,0.0,11850.26731809572,0.0,True,False,False
2163,aeec124c-1ea3-4dc8-ad3c-6be79fcbc155,Victoria Scott,33,Male,Divorced,Bachelor,"Conservation officer, historic buildings",138546,27774.0,,,24.0,27.0,15.0,0.0,Personal Loan,44049.0,1.0,3.0,0.0,9226.423663853038,0.0,False,False,True
2164,ab37ac56-097b-4015-86f4-9c75e9e28359,Christina Williams,53,Female,Married,PhD,"Scientist, forensic",30097,204006.0,,,35.0,38.666666666666664,60.0,1.0,Personal Loan,53017.5,2.0,2.0,5206.645484866088,11160.00500755969,1.0,False,False,True
2164,ab37ac56-097b-4015-86f4-9c75e9e28359,Christina Williams,53,Female,Married,PhD,"Scientist, forensic",30097,204006.0,,,35.0,38.666666666666664,60.0,1.0,Home Loan,53017.5,2.0,2.0,5206.645484866088,11160.00500755969,1.0,False,True,False
2165,a95de16a-b7d8-4612-8c97-20791c87e9e8,Jade Perez,18,Female,Divorced,PhD,"Therapist, drama",80338,72182.0,36995.0,0.9988439099562488,11.0,47.0,0.0,1.0,Credit Card,135195.0,1.0,1.0,0.0,2503.7730366743085,0.0,True,False,False
2166,84289138-2d95-4460-a5f6-71c740eea6e1,Tiffany Stewart,68,Male,Married,Bachelor,"Scientist, clinical (histocompatibility and immunogenetics)",148984,182006.83333333334,90797.0,0.5741480795622862,63.0,38.333333333333336,90.0,0.16666666666666666,Home Loan,,,,1535.7703354325613,10678.892389491248,1.0,False,True,False
2166,84289138-2d95-4460-a5f6-71c740eea6e1,Tiffany Stewart,68,Male,Married,Bachelor,"Scientist, clinical (histocompatibility and immunogenetics)",148984,182006.83333333334,90797.0,0.5741480795622862,63.0,38.333333333333336,90.0,0.16666666666666666,Personal Loan,,,,1535.7703354325613,10678.892389491248,1.0,False,False,True
2166,84289138-2d95-4460-a5f6-71c740eea6e1,Tiffany Stewart,68,Male,Married,Bachelor,"Scientist, clinical (histocompatibility and immunogenetics)",148984,182006.83333333334,90797.0,0.5741480795622862,63.0,38.333333333333336,90.0,0.16666666666666666,Credit Card,,,,1535.7703354325613,10678.892389491248,1.0,True,False,False
2167,43c36a50-5737-4bf9-bcb8-99b01b607684,Kristy Powell,55,Female,Married,High School,Trade union research officer,140945,136123.33333333334,91702.0,0.24817748815367652,86.0,33.666666666666664,90.0,0.5,Credit Card,220178.0,1.0,1.0,0.0,2333.324262507501,0.0,True,False,False
2167,43c36a50-5737-4bf9-bcb8-99b01b607684,Kristy Powell,55,Female,Married,High School,Trade union research officer,140945,136123.33333333334,91702.0,0.24817748815367652,86.0,33.666666666666664,90.0,0.5,Personal Loan,220178.0,1.0,1.0,0.0,2333.324262507501,0.0,False,False,True
2167,43c36a50-5737-4bf9-bcb8-99b01b607684,Kristy Powell,55,Female,Married,High School,Trade union research officer,140945,136123.33333333334,91702.0,0.24817748815367652,86.0,33.666666666666664,90.0,0.5,Home Loan,220178.0,1.0,1.0,0.0,2333.324262507501,0.0,False,True,False
2168,d704ead6-0d46-4a8c-a5c9-31f6e911b8ce,Matthew Oliver,43,Female,Divorced,PhD,"Conservation officer, nature",41913,301803.25,99915.0,0.9889852272988655,57.0,37.25,90.0,0.25,Personal Loan,203867.0,1.0,1.0,0.0,7314.081387569291,0.0,False,False,True
2168,d704ead6-0d46-4a8c-a5c9-31f6e911b8ce,Matthew Oliver,43,Female,Divorced,PhD,"Conservation officer, nature",41913,301803.25,99915.0,0.9889852272988655,57.0,37.25,90.0,0.25,Home Loan,203867.0,1.0,1.0,0.0,7314.081387569291,0.0,False,True,False
2168,d704ead6-0d46-4a8c-a5c9-31f6e911b8ce,Matthew Oliver,43,Female,Divorced,PhD,"Conservation officer, nature",41913,301803.25,99915.0,0.9889852272988655,57.0,37.25,90.0,0.25,Credit Card,203867.0,1.0,1.0,0.0,7314.081387569291,0.0,True,False,False
2169,8132cb82-ee4b-4916-b447-9cd818e1c279,Benjamin Jenkins,49,Male,Single,Bachelor,Data processing manager,127200,236472.5,,,27.0,43.0,120.0,0.5,Home Loan,,,,0.0,7969.585978206347,0.0,False,True,False
2169,8132cb82-ee4b-4916-b447-9cd818e1c279,Benjamin Jenkins,49,Male,Single,Bachelor,Data processing manager,127200,236472.5,,,27.0,43.0,120.0,0.5,Personal Loan,,,,0.0,7969.585978206347,0.0,False,False,True
2170,09489481-bb53-4b20-9b98-b7db6f5d08ae,Sherry Wade,30,Female,Divorced,Master,Environmental manager,105471,221097.0,,,56.0,26.666666666666668,30.0,0.3333333333333333,Personal Loan,57396.0,1.0,1.0,923.7711685070991,10605.468257569382,1.0,False,False,True
2170,09489481-bb53-4b20-9b98-b7db6f5d08ae,Sherry Wade,30,Female,Divorced,Master,Environmental manager,105471,221097.0,,,56.0,26.666666666666668,30.0,0.3333333333333333,Home Loan,57396.0,1.0,1.0,923.7711685070991,10605.468257569382,1.0,False,True,False
2171,477e83c2-ca6a-4659-a92b-bf6827795d15,Heather Smith,18,Female,Divorced,Master,Ergonomist,38169,216896.0,,,6.0,12.0,0.0,1.0,Home Loan,50163.5,1.0,2.0,0.0,6499.581906366846,0.0,False,True,False
2172,6188c2ad-976a-4e6b-8bf2-f84369c2953f,Lawrence Hoffman,54,Female,Married,Master,"Geologist, wellsite",61025,31923.0,35989.0,0.6895298473064204,6.0,48.0,90.0,1.0,Credit Card,492231.0,1.0,1.0,0.0,9431.268693001763,0.0,True,False,False
2173,990f85f9-787a-4dd1-a492-eceb9da1de65,Katherine Garcia,57,Male,Single,PhD,General practice doctor,41043,268455.0,42535.0,0.30952027093483797,66.0,32.75,90.0,0.25,Home Loan,303918.0,1.0,1.0,0.0,10207.948107987177,0.0,False,True,False
2173,990f85f9-787a-4dd1-a492-eceb9da1de65,Katherine Garcia,57,Male,Single,PhD,General practice doctor,41043,268455.0,42535.0,0.30952027093483797,66.0,32.75,90.0,0.25,Personal Loan,303918.0,1.0,1.0,0.0,10207.948107987177,0.0,False,False,True
2173,990f85f9-787a-4dd1-a492-eceb9da1de65,Katherine Garcia,57,Male,Single,PhD,General practice doctor,41043,268455.0,42535.0,0.30952027093483797,66.0,32.75,90.0,0.25,Credit Card,303918.0,1.0,1.0,0.0,10207.948107987177,0.0,True,False,False
2174,097016fd-ffe8-46c6-8e23-cca9e696d9c7,Stephanie Frazier,25,Female,Single,High School,"Engineer, water",89299,192294.0,20284.0,0.823035151224708,57.0,39.5,90.0,0.25,Home Loan,403554.5,1.0,2.0,8174.926930900585,11936.503691324055,1.0,False,True,False
2174,097016fd-ffe8-46c6-8e23-cca9e696d9c7,Stephanie Frazier,25,Female,Single,High School,"Engineer, water",89299,192294.0,20284.0,0.823035151224708,57.0,39.5,90.0,0.25,Credit Card,403554.5,1.0,2.0,8174.926930900585,11936.503691324055,1.0,True,False,False
2175,abcb5b3f-01cf-4464-9d23-7d0f0f26d12f,Amanda Snyder,42,Male,Single,Bachelor,Trading standards officer,118170,168736.25,56756.0,0.48503580750160774,49.0,28.25,90.0,0.5,Credit Card,,,,0.0,9480.831180504023,0.0,True,False,False
2175,abcb5b3f-01cf-4464-9d23-7d0f0f26d12f,Amanda Snyder,42,Male,Single,Bachelor,Trading standards officer,118170,168736.25,56756.0,0.48503580750160774,49.0,28.25,90.0,0.5,Personal Loan,,,,0.0,9480.831180504023,0.0,False,False,True
2175,abcb5b3f-01cf-4464-9d23-7d0f0f26d12f,Amanda Snyder,42,Male,Single,Bachelor,Trading standards officer,118170,168736.25,56756.0,0.48503580750160774,49.0,28.25,90.0,0.5,Home Loan,,,,0.0,9480.831180504023,0.0,False,True,False
2176,743d2c2e-5dd7-4cca-b4ae-0d76c576ac91,Dominique Burke,59,Male,Single,Master,Insurance broker,85286,155784.0,108177.25,0.41642241213489306,135.0,34.888888888888886,120.0,0.6666666666666666,Credit Card,,,,6097.537254397777,9606.609778597754,1.0,True,False,False
2176,743d2c2e-5dd7-4cca-b4ae-0d76c576ac91,Dominique Burke,59,Male,Single,Master,Insurance broker,85286,155784.0,108177.25,0.41642241213489306,135.0,34.888888888888886,120.0,0.6666666666666666,Personal Loan,,,,6097.537254397777,9606.609778597754,1.0,False,False,True
2176,743d2c2e-5dd7-4cca-b4ae-0d76c576ac91,Dominique Burke,59,Male,Single,Master,Insurance broker,85286,155784.0,108177.25,0.41642241213489306,135.0,34.888888888888886,120.0,0.6666666666666666,Home Loan,,,,6097.537254397777,9606.609778597754,1.0,False,True,False
2177,0f786c99-05f2-4141-8e99-09cab1d7990d,Ronald Castillo,37,Female,Married,High School,Ship broker,79479,403510.5,,,15.0,25.0,90.0,0.0,Personal Loan,,,,0.0,13444.63902903482,0.0,False,False,True
2178,f56c4e8c-962d-43fd-b686-5f0121d4ab16,Benjamin Sims PhD,41,Male,Single,PhD,"Secretary, company",24593,100136.0,58851.0,0.3133258853890979,19.0,33.0,60.0,1.0,Credit Card,38961.0,1.0,1.0,2672.12289072541,14170.729441982345,1.0,True,False,False
2179,ea34bf89-0a9c-4563-a3e4-c5f0ec5d74b3,Wayne Wilson,24,Female,Divorced,High School,Arboriculturist,135408,337777.75,138240.0,0.55477342631658,70.0,31.5,90.0,0.25,Credit Card,9359.0,1.0,1.0,0.0,11709.56824636158,0.0,True,False,False
2179,ea34bf89-0a9c-4563-a3e4-c5f0ec5d74b3,Wayne Wilson,24,Female,Divorced,High School,Arboriculturist,135408,337777.75,138240.0,0.55477342631658,70.0,31.5,90.0,0.25,Personal Loan,9359.0,1.0,1.0,0.0,11709.56824636158,0.0,False,False,True
2179,ea34bf89-0a9c-4563-a3e4-c5f0ec5d74b3,Wayne Wilson,24,Female,Divorced,High School,Arboriculturist,135408,337777.75,138240.0,0.55477342631658,70.0,31.5,90.0,0.25,Home Loan,9359.0,1.0,1.0,0.0,11709.56824636158,0.0,False,True,False
2180,7ce4dcfb-96ad-40d2-a0fa-926d5a8f22d8,Chase Torres,63,Female,Divorced,Master,Public relations officer,80782,275240.5,,,37.0,41.75,120.0,0.75,Home Loan,110840.5,2.0,2.0,14466.987946367937,11295.356932587665,2.0,False,True,False
2180,7ce4dcfb-96ad-40d2-a0fa-926d5a8f22d8,Chase Torres,63,Female,Divorced,Master,Public relations officer,80782,275240.5,,,37.0,41.75,120.0,0.75,Personal Loan,110840.5,2.0,2.0,14466.987946367937,11295.356932587665,2.0,False,False,True
2181,c557ab72-7572-4fb3-9d45-9f0587257cb1,Patricia Lindsey,38,Female,Divorced,PhD,Financial controller,77122,192513.0,,,22.0,53.0,120.0,1.0,Home Loan,13046.0,1.0,1.0,7181.7425095599665,8705.229914344143,1.0,False,True,False
2182,5281200b-1de9-446c-8c5b-3a7929ba70be,Kenneth Hodges,31,Female,Married,Master,"Pharmacist, hospital",68133,174413.75,,,34.0,45.5,120.0,0.25,Home Loan,132487.0,1.0,1.0,3532.4705521438054,9274.145398398843,1.0,False,True,False
2183,90137983-77c6-4e9e-8a21-71d19f1ab24f,Chelsea Norton,61,Male,Married,Bachelor,Risk analyst,77845,52867.0,105707.0,0.7192012810531575,10.0,16.0,60.0,1.0,Credit Card,92509.0,1.0,1.0,5458.648007527365,9473.974490133292,1.0,True,False,False
2184,b158d078-d921-457d-8beb-451cd397f934,Rachel Bell,48,Male,Single,PhD,Community development worker,146769,314411.0,,,13.0,58.0,15.0,1.0,Personal Loan,122607.5,2.0,2.0,0.0,13231.250263797774,0.0,False,False,True
2185,c9bd2170-0b15-4020-b134-6b5a0c8d217d,Brian Russo,67,Male,Married,High School,Chief Executive Officer,37899,237161.5,74669.0,0.4350923079506842,16.0,23.5,60.0,0.5,Personal Loan,469919.0,1.0,1.0,0.0,12273.637565367173,0.0,False,False,True
2185,c9bd2170-0b15-4020-b134-6b5a0c8d217d,Brian Russo,67,Male,Married,High School,Chief Executive Officer,37899,237161.5,74669.0,0.4350923079506842,16.0,23.5,60.0,0.5,Credit Card,469919.0,1.0,1.0,0.0,12273.637565367173,0.0,True,False,False
2186,3cf0d9e0-e185-4400-9fe8-2f9c11924377,Martin Garcia,45,Female,Single,Bachelor,Technical sales engineer,84253,77895.0,78284.0,0.6923560989762133,31.0,31.25,90.0,0.5,Credit Card,,,,0.0,15684.695429114498,0.0,True,False,False
2186,3cf0d9e0-e185-4400-9fe8-2f9c11924377,Martin Garcia,45,Female,Single,Bachelor,Technical sales engineer,84253,77895.0,78284.0,0.6923560989762133,31.0,31.25,90.0,0.5,Personal Loan,,,,0.0,15684.695429114498,0.0,False,False,True
2187,be282703-7246-4001-bc20-afa358316eb1,Kevin Flores,41,Female,Single,High School,General practice doctor,60526,145170.5,99690.0,0.7213575182613776,44.0,32.0,120.0,0.75,Credit Card,,,,8212.890638602013,18583.993566033165,1.0,True,False,False
2187,be282703-7246-4001-bc20-afa358316eb1,Kevin Flores,41,Female,Single,High School,General practice doctor,60526,145170.5,99690.0,0.7213575182613776,44.0,32.0,120.0,0.75,Personal Loan,,,,8212.890638602013,18583.993566033165,1.0,False,False,True
